movieid;country;addition;time
1672052;N;N;107
1672111;N;N;108
1672580;N;N;113
1672716;N;N;96
1673647;N;N;140
1673647;Portugal;(cut version);125
1673658;N;N;98
1673848;N;N;97
1674388;N;N;103
1674737;N;N;96
1677011;N;N;104
1677258;N;N;87
1677346;N;N;87
1677472;USA;N;18
1677516;N;N;101
1677631;N;N;141
1677631;N;(premiere cut);160
1678036;N;N;116
1678591;N;N;96
1679029;N;N;103
1679461;N;N;93
1679507;N;N;82
1679920;N;N;100
1681633;N;N;110
1681655;N;N;93
1681655;USA;(extended cut);100
1682630;N;(original version);90
1682657;N;N;95
1682692;N;N;105
1682746;N;N;118
1682922;N;N;123
1684201;N;N;97
1684430;N;N;121
1684442;N;N;92
1684486;N;N;95
1684910;N;N;72
1685241;N;N;69
1685309;N;N;94
1685405;N;N;115
1685463;N;N;136
1685493;N;N;30
1685815;N;N;97
1686071;N;N;105
1686209;N;N;101
1687181;Argentina;N;100
1687181;Japan;N;96
1687181;UK;N;96
1687181;USA;N;100
1687544;N;N;126
1687544;West Germany;N;104
1687685;N;N;109
1687730;N;N;100
1687730;Argentina;N;105
1687730;Germany;N;107
1687730;Spain;N;105
1687730;USA;N;108
1687738;N;N;80
1687738;Spain;N;83
1687738;UK;(DVD version);79
1687738;USA;(original version);89
1687905;N;N;138
1688103;N;N;108
1688565;Argentina;N;96
1688565;USA;N;96
1689117;N;N;94
1689183;N;N;78
1689210;N;N;23
1689263;N;N;60
1689475;N;N;87
1690318;N;N;89
1690377;N;N;110
1690377;Argentina;N;105
1690377;USA;N;105
1690616;N;N;128
1690710;N;N;89
1690710;UK;(DVD);90
1690773;N;N;103
1690958;N;N;84
1690958;Argentina;N;96
1691077;N;N;97
1691387;UK;N;100
1691642;N;N;120
1691685;Spain;N;98
1691685;UK;N;99
1691685;USA;N;99
1691793;N;N;125
1692173;N;N;116
1692404;N;N;90
1692580;N;N;92
1692580;Germany;N;85
1693225;N;N;82
1693305;N;N;123
1693305;Spain;N;114
1693341;N;N;91
1693345;N;N;96
1693345;Portugal;(cut version);88
1693346;N;N;93
1693346;N;(DVD);99
1693347;N;N;87
1693348;N;N;89
1693818;N;N;105
1693861;N;N;107
1693880;N;N;138
1693880;Germany;(TV version);125
1694141;N;N;122
1694448;N;N;117
1694647;N;N;94
1694901;N;N;128
1695219;N;N;123
1695355;UK;N;117
1696148;N;N;121
1696165;N;N;106
1696168;N;N;89
1696396;N;N;98
1696473;N;N;127
1696496;N;N;101
1696789;N;N;111
1697037;N;N;122
1697037;USA;(re-release);125
1697674;N;N;108
1697690;N;N;105
1697774;N;N;90
1697856;N;N;149
1698492;N;N;90
1698547;N;N;80
1698547;USA;(special edition);86
1698667;N;N;131
1698944;N;N;102
1698960;N;N;117
1698972;N;N;107
1699546;USA;(1976 release);78
1699876;N;N;115
1703410;N;N;97
1703410;USA;(Sundance Film Festival);105
1703469;N;N;113
1703588;N;N;96
1703679;N;N;117
1703907;N;N;121
1704569;N;N;86
1704569;Turkey;(TV version);78
1704571;N;N;90
1704577;N;N;111
1704645;N;N;98
1705196;N;N;51
1705417;N;N;96
1706079;N;N;94
1706140;N;N;100
1706887;N;N;77
1706887;Argentina;N;94
1706887;Germany;(DVD version);94
1707277;N;N;102
1707941;N;N;114
1708591;N;N;32
1708982;N;N;119
1709238;N;N;128
1709892;N;N;92
1709901;N;N;98
1710609;N;N;105
1710622;N;(final version);102
1710622;N;(original version);109
1710622;Argentina;N;103
1710622;Argentina;(DVD version);98
1710622;Australia;(2000 re-release);107
1710622;Norway;N;104
1710622;UK;N;109
1710673;N;N;118
1710673;Argentina;N;120
1710994;N;N;125
1711133;N;N;113
1711143;N;N;98
1711145;N;N;90
1711175;N;N;124
1711356;N;N;92
1711383;N;N;85
1711384;N;N;88
1711393;N;N;114
1711395;N;N;137
1711398;N;N;107
1712152;N;N;124
1713183;N;N;90
1713499;N;N;109
1713755;N;N;97
